건물용도코드,건물종류,건물일련번호,가점척도,lon,lat
15001,주유소,8400,2,127.3497224,37.63063917
15001,주유소,8358,2,127.3555832,37.63850983
15001,주유소,8353,2,127.3575376,37.63937142
15001,주유소,8291,2,127.3678478,37.65055685
15001,주유소,65034,2,127.1107118,37.64736961
15001,주유소,7432,2,127.109799,37.6478386
15001,주유소,7818,2,127.2077061,37.68060473
15001,주유소,7840,2,127.2042226,37.68963192
15001,주유소,7835,2,127.2016448,37.69202015
15001,주유소,7802,2,127.1930381,37.70165394
15001,주유소,68787,2,127.1690975,37.58701371
15001,주유소,16536,2,127.3317518,37.65415915
2001,아파트,11361,2,127.1557732,37.60588524
2001,아파트,11362,2,127.1564262,37.60617385
2001,아파트,57408,2,127.164752,37.60896944
2001,아파트,57407,2,127.1646769,37.60898886
2001,아파트,75483,2,127.1636358,37.6082201
2001,아파트,75484,2,127.1636713,37.60758303
2001,아파트,75485,2,127.1640156,37.60772035
2001,아파트,75486,2,127.164046,37.60707354
2001,아파트,75487,2,127.1643836,37.6072145
2001,아파트,75488,2,127.1648483,37.60740875
2001,아파트,75489,2,127.1645713,37.60686593
2001,아파트,75490,2,127.1648006,37.60658406
2001,아파트,75491,2,127.165181,37.60672786
2001,아파트,75492,2,127.1655636,37.60734014
2001,아파트,75493,2,127.1657627,37.60779841
2001,아파트,75494,2,127.1651911,37.60793259
2001,아파트,75495,2,127.1654397,37.60826292
2001,아파트,75496,2,127.1652192,37.60862643
2001,아파트,75515,2,127.1654014,37.60765824
2001,아파트,75516,2,127.165009,37.60822248
2001,아파트,75517,2,127.1644942,37.60791796
2001,아파트,75518,2,127.1647425,37.60847187
2001,아파트,75554,2,127.1640372,37.6084693
2001,아파트,75555,2,127.165029,37.60708844
2001,아파트,35435,2,127.2397522,37.64834579
2001,아파트,35431,2,127.2412842,37.64768867
2001,아파트,35432,2,127.2408864,37.64752146
2001,아파트,35433,2,127.2400436,37.64755895
2001,아파트,35437,2,127.2405092,37.64775793
2001,아파트,35440,2,127.2393553,37.64810089
2001,아파트,35442,2,127.2402917,37.64840642
2001,아파트,35438,2,127.2401843,37.64783708
2001,아파트,35434,2,127.2403933,37.64739416
2001,아파트,35441,2,127.2412299,37.64856566
2001,아파트,35439,2,127.2413798,37.64806926
2001,아파트,35436,2,127.2412521,37.64831983
2001,아파트,11478,2,127.270387,37.65431752
2001,아파트,11479,2,127.2685819,37.65448845
2001,아파트,11487,2,127.2720016,37.65415567
2001,아파트,11482,2,127.2716467,37.65384264
2001,아파트,11483,2,127.2712975,37.65415089
2001,아파트,11484,2,127.2707339,37.65396192
2001,아파트,11477,2,127.2691499,37.65426237
2001,아파트,11480,2,127.2699812,37.65414768
2001,아파트,11493,2,127.268267,37.65374065
2001,아파트,11490,2,127.2704639,37.65298282
2001,아파트,11494,2,127.2686344,37.65348287
2001,아파트,11496,2,127.2693429,37.6530552
2001,아파트,11497,2,127.2691184,37.65354457
2001,아파트,11489,2,127.2710173,37.65320541
2001,아파트,11492,2,127.2697542,37.65273119
2001,아파트,11491,2,127.270084,37.6533383
2001,아파트,11446,2,127.2880926,37.65563868
2001,아파트,11439,2,127.2871012,37.65572261
2001,아파트,11440,2,127.2867514,37.65612633
2001,아파트,11441,2,127.2866734,37.65656954
2001,아파트,11444,2,127.2877183,37.65612745
2001,아파트,11447,2,127.2865341,37.65580293
2001,아파트,11437,2,127.2862081,37.65581991
2001,아파트,11436,2,127.2872303,37.65633367
2001,아파트,11438,2,127.2860831,37.65631163
2001,아파트,23243,2,127.3189384,37.651478
2001,아파트,23244,2,127.3201218,37.65128607
2001,아파트,23245,2,127.3185014,37.65092253
2001,아파트,23246,2,127.3195168,37.65075064
2001,아파트,23248,2,127.3205271,37.6509276
2001,아파트,23249,2,127.3180255,37.65067833
2001,아파트,23251,2,127.3185017,37.65041887
2001,아파트,23252,2,127.3189961,37.64997884
2001,아파트,23242,2,127.3196567,37.65022509
2001,아파트,23254,2,127.3194566,37.6495298
2001,아파트,23253,2,127.3183195,37.64973158
2001,아파트,23255,2,127.3199594,37.64990601
2001,아파트,1831,2,127.1949189,37.72626981
2001,아파트,1832,2,127.1942837,37.72661244
2001,아파트,1833,2,127.194464,37.72705182
2001,아파트,1834,2,127.1951093,37.72681117
2001,아파트,1836,2,127.1944831,37.72752469
2001,아파트,1835,2,127.1949602,37.72707639
2001,아파트,1851,2,127.1933785,37.72556637
2001,아파트,1852,2,127.1927045,37.7253332
2001,아파트,1842,2,127.194545,37.72545806
2001,아파트,1846,2,127.1925532,37.72385166
2001,아파트,1847,2,127.1920755,37.72409565
2001,아파트,1844,2,127.1935874,37.72453314
2001,아파트,1853,2,127.1924237,37.72472002
2001,아파트,1848,2,127.1930554,37.72462647
2001,아파트,1849,2,127.1935861,37.7251281
2001,아파트,1850,2,127.1940106,37.72573228
2001,아파트,1843,2,127.1940633,37.72495212
2001,아파트,1845,2,127.193184,37.72402123
2001,아파트,24883,2,127.1905381,37.72913281
2001,아파트,24884,2,127.1907312,37.72821282
2001,아파트,24880,2,127.1904725,37.72867176
2001,아파트,24881,2,127.1902525,37.72925615
2001,아파트,24894,2,127.1916958,37.73020627
2001,아파트,24895,2,127.1913448,37.72907868
2001,아파트,24896,2,127.1914283,37.72858661
2001,아파트,24888,2,127.1912316,37.72996946
2001,아파트,24893,2,127.1916755,37.7295933
2001,아파트,24892,2,127.191063,37.72949185
2001,아파트,59235,2,127.1963087,37.72882218
2001,아파트,59236,2,127.1957786,37.72889161
2001,아파트,59233,2,127.195087,37.72852618
2001,아파트,59232,2,127.1954437,37.727325
2001,아파트,59234,2,127.1950721,37.72787301
2001,아파트,59228,2,127.1951085,37.72914615
2001,아파트,59230,2,127.1957447,37.72775142
2001,아파트,59231,2,127.1960279,37.72827957
2001,아파트,24911,2,127.1915441,37.73127231
2001,아파트,24905,2,127.1922095,37.73161028
2001,아파트,24906,2,127.191927,37.73167572
2001,아파트,24908,2,127.1916451,37.73175021
2001,아파트,24909,2,127.1917351,37.73111161
2001,아파트,71175,2,127.1325747,37.66660376
2001,아파트,71176,2,127.1325498,37.66715786
2001,아파트,71174,2,127.1319217,37.66677187
2001,아파트,71177,2,127.1330077,37.66748052
2001,아파트,71179,2,127.1319955,37.66654178
2001,아파트,44161,2,127.1978453,37.7423352
2001,아파트,2473,2,127.1602983,37.70589167
2001,아파트,2472,2,127.1605444,37.70585604
2001,아파트,2474,2,127.1604251,37.70531809
2001,아파트,2476,2,127.1605648,37.70550094
2001,아파트,2477,2,127.1598332,37.70532701
2001,아파트,2478,2,127.1598605,37.70552323
2001,아파트,2479,2,127.1607627,37.70579596
2001,아파트,42921,2,127.3009471,37.64439336
2001,아파트,42922,2,127.3020322,37.64444186
2001,아파트,42923,2,127.3024636,37.64423773
2001,아파트,42925,2,127.3016671,37.64402648
2001,아파트,42924,2,127.3023143,37.64482595
2001,아파트,42920,2,127.3012206,37.64465208
2001,아파트,42926,2,127.301193,37.64407055
2001,아파트,42914,2,127.3008729,37.64570761
2001,아파트,42915,2,127.3001112,37.64527896
2001,아파트,42916,2,127.3010111,37.64516582
2001,아파트,42910,2,127.2997831,37.64646581
2001,아파트,42911,2,127.2992305,37.64651874
2001,아파트,42913,2,127.2999339,37.64587037
2001,아파트,42912,2,127.2993812,37.64592258
2001,아파트,42933,2,127.2973698,37.64409385
2001,아파트,42938,2,127.2977296,37.6434819
2001,아파트,42939,2,127.2985593,37.64364377
2001,아파트,42940,2,127.2982054,37.64387458
2001,아파트,42941,2,127.2987423,37.6429244
2001,아파트,42942,2,127.2979518,37.64298338
2001,아파트,42937,2,127.2983773,37.64330714
2001,아파트,20842,2,127.2959775,37.64132951
2001,아파트,20844,2,127.2960435,37.6408044
2001,아파트,20846,2,127.2958195,37.64109665
2001,아파트,20848,2,127.2953211,37.64059123
2001,아파트,20847,2,127.2951842,37.64007272
2001,아파트,20841,2,127.2960278,37.64026994
2001,아파트,35928,2,127.2394551,37.65458738
2001,아파트,35925,2,127.2388697,37.65361464
2001,아파트,35929,2,127.2394925,37.65418525
2001,아파트,35930,2,127.2389223,37.65401982
2001,아파트,35926,2,127.2383087,37.65353957
2001,아파트,35931,2,127.2395042,37.65502229
2001,아파트,35956,2,127.2389255,37.65940864
2001,아파트,35953,2,127.239133,37.66097831
2001,아파트,35954,2,127.2389316,37.66054162
2001,아파트,35955,2,127.2391488,37.6602305
2001,아파트,35957,2,127.2387394,37.65995907
2001,아파트,35958,2,127.2392063,37.65969217
2001,아파트,69335,2,127.2408982,37.66232899
2001,아파트,69334,2,127.24101,37.66181791
2001,아파트,69336,2,127.2408839,37.66280767
2001,아파트,69337,2,127.2401888,37.66267735
2001,아파트,69338,2,127.2394402,37.6625467
2001,아파트,69339,2,127.239398,37.66203745
2001,아파트,69340,2,127.239979,37.66218473
2001,아파트,69341,2,127.2398949,37.66157189
2001,아파트,35935,2,127.2550118,37.65678448
2001,아파트,35936,2,127.2538121,37.6567594
2001,아파트,35938,2,127.2537924,37.65724121
2001,아파트,35943,2,127.2542528,37.65755935
2001,아파트,35948,2,127.2548522,37.6578093
2001,아파트,35950,2,127.2537777,37.65771702
2001,아파트,35951,2,127.2536868,37.65822106
2001,아파트,35939,2,127.2541509,37.65719713
2001,아파트,35946,2,127.2549469,37.65727669
2001,아파트,35942,2,127.2543761,37.65689786
2001,아파트,56242,2,127.245105,37.66054241
2001,아파트,56241,2,127.2470457,37.66060358
2001,아파트,56244,2,127.2466037,37.66049006
2001,아파트,56245,2,127.2455016,37.66021205
2001,아파트,56246,2,127.2459304,37.66019488
2001,아파트,56247,2,127.2451037,37.6599211
2001,아파트,56249,2,127.2465007,37.65990389
2001,아파트,56248,2,127.2459055,37.65991367
2001,아파트,56243,2,127.2460331,37.66049504
2001,아파트,56231,2,127.2445876,37.66116075
2001,아파트,56233,2,127.2470622,37.66108237
2001,아파트,56238,2,127.2449421,37.6618002
2001,아파트,56239,2,127.2465293,37.66176624
2001,아파트,56237,2,127.2457353,37.66184757
2001,아파트,56228,2,127.2474469,37.661262
2001,아파트,56232,2,127.2474168,37.66118092
2001,아파트,56210,2,127.2443019,37.66171218
2001,아파트,56211,2,127.2473217,37.66164938
2001,아파트,56212,2,127.2438155,37.66163306
2001,아파트,56236,2,127.2445009,37.66196752
2001,아파트,56229,2,127.2453817,37.66119364
2001,아파트,56230,2,127.2463548,37.66118014
2001,아파트,25197,2,127.2400472,37.65950963
2001,아파트,25237,2,127.2413179,37.6607953
2001,아파트,25224,2,127.2400243,37.6600334
2001,아파트,25192,2,127.240867,37.65960333
2001,아파트,25226,2,127.243013,37.66140195
2001,아파트,25227,2,127.2423988,37.66121287
2001,아파트,25228,2,127.2417293,37.66107754
2001,아파트,25221,2,127.2408402,37.66024635
2001,아파트,25232,2,127.2406354,37.6609372
2001,아파트,25240,2,127.2430561,37.66073821
2001,아파트,25202,2,127.2424016,37.66071934
2001,아파트,25207,2,127.2400966,37.66061496
2001,아파트,25179,2,127.2401355,37.65890384
2001,아파트,25185,2,127.2408784,37.6588966
2001,아파트,25183,2,127.2408988,37.65829209
2001,아파트,25180,2,127.2402586,37.65827927
2001,아파트,25181,2,127.2409308,37.65769259
2001,아파트,25186,2,127.2414856,37.65894616
2001,아파트,25184,2,127.2414858,37.65852313
2001,아파트,25182,2,127.240303,37.65767738
2001,아파트,60281,2,127.2477415,37.65997529
2001,아파트,51524,2,127.2524857,37.66032558
2001,아파트,51511,2,127.250234,37.65974859
2001,아파트,51514,2,127.2499989,37.65930198
2001,아파트,51515,2,127.2497594,37.66066099
2001,아파트,51535,2,127.2487833,37.66142988
2001,아파트,51536,2,127.2495303,37.66127281
2001,아파트,51539,2,127.250154,37.6611365
2001,아파트,51543,2,127.2485952,37.66099279
2001,아파트,51544,2,127.2508866,37.66084647
2001,아파트,51546,2,127.2503342,37.66077523
2001,아파트,51520,2,127.2505275,37.66031134
2001,아파트,51517,2,127.248642,37.66053114
2001,아파트,51528,2,127.251877,37.66013799
2001,아파트,51530,2,127.2510105,37.65999046
2001,아파트,51516,2,127.2515835,37.66060447
2001,아파트,51532,2,127.251469,37.65994388
2001,아파트,51526,2,127.2495889,37.66017804
2001,아파트,51529,2,127.2501376,37.66015592
2001,아파트,25247,2,127.2482051,37.65905499
2001,아파트,25242,2,127.2492912,37.65954869
2001,아파트,25243,2,127.248441,37.65949423
2001,아파트,25246,2,127.2490536,37.65910912
2001,아파트,25250,2,127.2488274,37.65869294
2001,아파트,25252,2,127.2493208,37.65977899
2001,아파트,25251,2,127.2486856,37.65994195
2001,아파트,52483,2,127.2883548,37.52637296
2001,아파트,52480,2,127.2890034,37.52671312
2001,아파트,52482,2,127.2885271,37.52644649
2001,아파트,52484,2,127.2882106,37.52621295
2001,아파트,44656,2,127.206349,37.58926245
2001,아파트,44655,2,127.2064047,37.58948145
2001,아파트,44705,2,127.2068812,37.58921386
2001,아파트,44706,2,127.2069228,37.58871704
2001,아파트,44688,2,127.2099868,37.58889825
2001,아파트,44690,2,127.2094114,37.58900408
2001,아파트,44698,2,127.2075569,37.58913553
2001,아파트,44667,2,127.209769,37.58829135
2001,아파트,44689,2,127.2089314,37.58879431
2001,아파트,44699,2,127.2086279,37.58907667
2001,아파트,44700,2,127.2080816,37.58907678
2001,아파트,44670,2,127.2084744,37.58854229
2001,아파트,44674,2,127.2092626,37.58841201
2001,아파트,44675,2,127.2101915,37.58857648
2001,아파트,50976,2,127.2115116,37.58871393
2001,아파트,44484,2,127.2107192,37.58689073
2001,아파트,44483,2,127.2112953,37.58685089
2001,아파트,44498,2,127.2115203,37.58732799
2001,아파트,47180,2,127.2123197,37.58326016
2001,아파트,47174,2,127.212772,37.58293518
2001,아파트,47175,2,127.2120356,37.58282295
2001,아파트,47171,2,127.2122768,37.58248652
2001,아파트,47184,2,127.2120978,37.58304996
2001,아파트,47167,2,127.2114092,37.58383878
2001,아파트,47160,2,127.2110814,37.58301858
2001,아파트,47166,2,127.2112837,37.5834288
2001,아파트,47155,2,127.211368,37.58302904
2001,아파트,47159,2,127.2109757,37.58318138
2001,아파트,47163,2,127.2111322,37.58374804
2001,아파트,47147,2,127.211402,37.5820642
2001,아파트,47144,2,127.2120634,37.58150411
2001,아파트,47146,2,127.2119029,37.58228338
2001,아파트,47140,2,127.2105944,37.58270258
2001,아파트,44708,2,127.21273,37.58434593
2001,아파트,44707,2,127.2128732,37.58389702
2001,아파트,44579,2,127.2145926,37.58071624
2001,아파트,44580,2,127.2150366,37.58110776
2001,아파트,44564,2,127.2129742,37.58034765
2001,아파트,44565,2,127.213728,37.58054002
2001,아파트,44585,2,127.2130887,37.58093664
2001,아파트,44586,2,127.2136614,37.58106242
2001,아파트,44591,2,127.2136709,37.58143341
2001,아파트,44592,2,127.2144414,37.5812797
2001,아파트,44609,2,127.215039,37.58153256
2001,아파트,44613,2,127.2141135,37.58178007
2001,아파트,44766,2,127.2167149,37.58044735
2001,아파트,44767,2,127.2180687,37.58068673
2001,아파트,44769,2,127.2172906,37.58063193
2001,아파트,44756,2,127.2168127,37.58082342
2001,아파트,44759,2,127.2173755,37.58106031
2001,아파트,44760,2,127.2170687,37.58107258
2001,아파트,44762,2,127.2172059,37.58026463
2001,아파트,44763,2,127.2175919,37.58029711
2001,아파트,44765,2,127.2178168,37.58052252
2001,아파트,44754,2,127.2180415,37.58075886
2001,아파트,44757,2,127.2164614,37.58083495
2001,아파트,44761,2,127.2178271,37.58096906
2001,아파트,44792,2,127.2158995,37.57949049
2001,아파트,44824,2,127.2162672,37.5782754
2001,아파트,44804,2,127.2158056,37.58043615
2001,아파트,44816,2,127.2169659,37.57790793
2001,아파트,44817,2,127.216617,37.57777938
2001,아파트,44819,2,127.2160351,37.57777503
2001,아파트,44832,2,127.2149688,37.57884431
2001,아파트,44853,2,127.2146135,37.57964333
2001,아파트,44856,2,127.2142617,37.58000726
2001,아파트,44834,2,127.2143941,37.57867502
2001,아파트,44838,2,127.2150981,37.57835149
2001,아파트,44841,2,127.2149815,37.57927523
2001,아파트,44843,2,127.214416,37.57918562
2001,아파트,44616,2,127.2138068,37.57911418
2001,아파트,44621,2,127.2133863,37.57927098
2001,아파트,44630,2,127.2140014,37.57956436
2001,아파트,44806,2,127.2149666,37.58035892
2001,아파트,44823,2,127.2145961,37.57836326
2001,아파트,44794,2,127.2158338,37.58000151
2001,아파트,44627,2,127.2132341,37.57965273
2001,아파트,44830,2,127.2153267,37.57804727
2001,아파트,44837,2,127.2157145,37.5785257
2001,아파트,44813,2,127.2155209,37.58076557
2001,아파트,44825,2,127.2157639,37.57802747
2001,아파트,44849,2,127.2142192,37.57939949
2001,아파트,44625,2,127.2137751,37.57982556
2001,아파트,44822,2,127.2160489,37.57842138
2001,아파트,44614,2,127.2139256,37.57876966
2001,아파트,66513,2,127.2172562,37.57757491
2001,아파트,46699,2,127.2180613,37.57756312
2001,아파트,49245,2,127.2186249,37.58019272
2001,아파트,49247,2,127.218267,37.58023455
2001,아파트,49246,2,127.2186386,37.58029524
2001,아파트,44879,2,127.2196243,37.57850413
2001,아파트,44880,2,127.2201314,37.57840582
2001,아파트,44885,2,127.2204698,37.57913925
2001,아파트,44872,2,127.220384,37.57869903
2001,아파트,44878,2,127.2207556,37.57863715
2001,아파트,44887,2,127.2198356,37.57891245
2001,아파트,44869,2,127.2195512,37.57819403
2001,아파트,44886,2,127.2209589,37.57902437
2001,아파트,44873,2,127.219075,37.57872321
2001,아파트,44866,2,127.2187678,37.57851593
2001,아파트,44876,2,127.219904,37.57873298
2001,아파트,54720,2,127.2193873,37.57711681
2001,아파트,54722,2,127.2202608,37.57736455
2001,아파트,54727,2,127.2205726,37.57794907
2001,아파트,54728,2,127.2198693,37.57766558
2001,아파트,54725,2,127.2193687,37.57731952
2001,아파트,44949,2,127.2215257,37.57801537
2001,아파트,44915,2,127.2222992,37.57754587
2001,아파트,44939,2,127.2239534,37.57767538
2001,아파트,44941,2,127.2247364,37.57763338
2001,아파트,44945,2,127.2235378,37.5781194
2001,아파트,44897,2,127.2227889,37.57688009
2001,아파트,44898,2,127.2217145,37.57693435
2001,아파트,44900,2,127.2222403,37.57687046
2001,아파트,44902,2,127.2212575,37.57691778
2001,아파트,44924,2,127.223629,37.57740699
2001,아파트,44926,2,127.224405,37.57739556
2001,아파트,44909,2,127.2220683,37.57721668
2001,아파트,44912,2,127.2212808,37.57744847
2001,아파트,44934,2,127.2244372,37.57791307
2001,아파트,44935,2,127.2249989,37.57791043
2001,아파트,44930,2,127.2223529,37.57786782
2001,아파트,44931,2,127.2231307,37.57777776
2001,아파트,44923,2,127.2230383,37.5773713
2001,아파트,44948,2,127.22204,37.57813766
2001,아파트,44946,2,127.2227995,37.57814366
2001,아파트,45006,2,127.2246445,37.5759489
